         CRIM     ZN  INDUS  CHAS     NOX     RM   AGE      DIS   RAD    TAX  PTRARIO       B  LSTAT    PRICE
107  0.989191    6.0   3.86   0.0  0.7280  7.302  25.5  11.0609  18.0  491.0     11.0   10.26   4.62   316.37
108  0.599545   50.0  23.70   1.0  0.0835  7.271  40.2   2.8312  13.0  276.0     19.8   72.05  22.45    42.82
109  0.672397   52.0  20.85   1.0  0.1452  7.288  59.2   6.7413   6.0  344.0     16.8  330.07  23.50    84.00
110  0.578433   67.0   6.83   1.0  0.0236  7.577  27.1   7.3349   7.0  387.0     18.7  320.34  17.00    91.28
111  0.309295   91.0   7.73   1.0  0.8228  6.052  27.1  12.8925   9.0  437.0     14.1   11.73  15.07   268.10
112  0.690498   28.0   8.21   1.0  0.8661  7.653  82.4   7.7754  21.0  308.0     19.2  352.51   9.12   885.02
113  0.441473   78.0  15.77   1.0  0.5291  5.078  75.9   8.0945  23.0  413.0     24.5    7.99  15.29   117.14
114  0.668406   72.0  19.73   0.0  0.3425  7.699  12.9   5.6824  14.0  368.0     16.2  356.17  20.00    91.95
115  0.911231   23.0  20.64   0.0  0.0114  7.637  81.0   5.3705   1.0  373.0     19.0  323.83  28.84    68.13
116  1.221630   23.0  20.71   1.0  0.4203  7.044  44.3  12.8876  16.0  492.0     14.6  316.70   4.98   212.78
117  0.655637   92.0   5.26   0.0  0.6693  7.632  11.7   8.6201   3.0  335.0     20.6  337.92  27.64   254.63
118  2.477634   71.0  11.13   0.0  0.8346  7.911  14.5  11.2274  17.0  240.0     17.1  365.02  28.13   853.25
119  0.659794   38.0   1.97   1.0  0.1786  6.322  80.3  10.6379   1.0  418.0     11.1   90.94  28.69   107.56
120  2.686937   86.0  20.53   0.0  0.3250  7.901  64.0   5.0324  17.0  233.0     24.0   44.46  21.21    79.14
121  1.463760   70.0  17.73   1.0  0.1141  7.578  86.7   5.2401   7.0  229.0     12.6    9.54  18.92    56.40
122  0.832376   84.0  10.58   1.0  0.0302  5.286   5.0   5.3577  12.0  443.0     13.9  340.47  28.42    67.74
123  0.807459   30.0  12.00   0.0  0.0243  6.314  39.3   3.9272  17.0  273.0     20.1   61.46  10.79    57.81
124  0.633835   39.0  14.86   0.0  0.1613  7.890  68.2   2.3123  23.0  347.0     16.4  327.84   6.34    98.34
125  0.239780   33.0   9.15   0.0  0.4754  6.983  23.5   5.3728  15.0  387.0     21.3   77.55  22.97    93.87
126  0.625202   52.0   2.14   1.0  0.8200  7.046  74.1   9.1604  10.0  254.0     13.1  306.71   3.00   512.13
127  0.352886    8.0  10.31   1.0  0.9869  5.315  49.1  10.5515   3.0  345.0     23.6   91.14  19.06   292.31
128  1.252999   23.0   1.08   0.0  0.1449  7.142  88.7   8.3036   8.0  393.0     23.7   82.36  18.30    96.64
129  0.602833   63.0  12.38   1.0  0.6519  5.780   9.7   0.9410  13.0  498.0     16.0   51.99  29.87    63.76
130  0.384789    5.0  22.54   0.0  0.8470  7.543  25.6   1.6540   4.0  235.0     10.9   18.09  14.15   614.97
131  2.382121   25.0  22.61   0.0  0.2646  7.228  72.0   9.8603  24.0  304.0     17.6  329.23  28.27   125.63
132  0.673848   65.0   1.73   0.0  0.5991  7.276  62.6  10.4176   9.0  499.0     19.2   69.76   8.68   194.04
133  0.954655   47.0  22.90   0.0  0.3348  5.467  65.3   3.3187  24.0  286.0     15.1  315.29  16.08    75.56
134  0.216218   35.0  21.53   1.0  0.3492  6.367  14.2   4.7381  23.0  323.0     12.8  318.29  20.76    78.09
135  0.323051   49.0  15.71   0.0  0.0402  5.035  63.9   6.5520  24.0  220.0     13.8  307.83  21.61    87.64
136  1.907601   18.0  25.57   0.0  0.7250  6.013  45.8  12.6929  20.0  286.0     14.9  319.44   7.55   241.99
137  0.641778   74.0   5.16   1.0  0.8423  6.128  94.9  12.5700  15.0  347.0     11.4  347.02  13.17   324.32
138  0.671949   72.0   4.74   1.0  0.9248  6.419  91.9   3.2545   9.0  340.0     12.2   57.20  24.51   422.93
139  0.602019   12.0  21.25   0.0  0.7985  5.029  46.6   7.4931  20.0  317.0     19.2   15.59  20.14   140.11
140  0.693427    1.0   2.09   0.0  0.9515  7.540   6.0   3.1590   2.0  336.0     21.4   36.45   5.05  1342.75
141  2.800569   92.0  18.37   0.0  0.8512  6.932  30.5   5.4734  20.0  233.0     22.7  328.54  28.91   442.63
142  0.392155   36.0   6.08   1.0  0.1990  6.230  38.6   1.3227  21.0  276.0     16.8  397.27  21.98    51.02
143  0.111104   87.0  24.86   0.0  0.1474  7.249  32.4   2.0239   0.0  428.0     15.7  335.30   8.87    62.64
144  0.434263   29.0  19.36   1.0  0.9158  7.038  44.9   1.3093   6.0  233.0     10.4  319.64  11.42   676.08
145  0.778183   69.0  12.51   0.0  0.1812  5.885  88.4  11.0578  12.0  364.0     17.0   64.07  12.61   120.41
146  0.470439   56.0   0.02   1.0  0.6076  7.510  78.8   6.9498   4.0  466.0     14.2   55.44  16.56   171.68
147  0.025289   83.0   3.89   0.0  0.9900  6.009  44.5   3.5442  13.0  474.0     22.6  314.87  19.42   448.74
148  0.182654   76.0  25.47   1.0  0.1556  5.826  21.3  12.9704  13.0  249.0     15.3   53.54  24.28   118.50
149  0.665121   49.0   6.84   1.0  0.0181  7.154  92.2   0.9062  11.0  230.0     10.4  356.53   4.32   104.79
150  2.149318   60.0  22.73   1.0  0.6886  6.324  92.1   0.9285   1.0  423.0     17.6  364.91   6.11   156.33
151  0.576191   77.0   5.80   1.0  0.6325  6.331  48.9   6.5177   2.0  201.0     13.2  365.13  28.75   124.02
152  1.588507   39.0   8.81   0.0  0.0343  6.593  34.5  12.1728  19.0  403.0     23.5  362.41  24.11   144.71
153  0.782883   59.0  16.99   1.0  0.8369  5.654  92.4   6.5066  17.0  301.0     21.8  385.48  20.91   211.03
154  0.895209   60.0  25.59   1.0  0.5130  6.968  36.2   1.2235  17.0  474.0     20.5  374.21  15.41    89.48
155  0.955273   94.0  25.77   1.0  0.1097  7.936  85.7   0.9868   7.0  253.0     12.8  313.05  28.43    33.68
156  2.492156   87.0  24.28   0.0  0.5754  6.100  48.0   7.6171   6.0  248.0     15.2  332.90  24.66   117.16
157  2.148268   96.0  24.13   0.0  0.0958  7.663  24.4   3.8089  21.0  462.0     13.7   64.29  21.15    54.28
158  0.676101   65.0   4.15   1.0  0.9317  5.434  14.6  10.4425  22.0  489.0     17.1   43.90  20.23   271.57
159  1.840908   79.0  25.14   0.0  0.7645  5.671  21.3   7.8888   2.0  312.0     23.1  391.86  20.83   165.58
160  1.001142   99.0   2.87   1.0  0.8473  6.666  81.1   7.1235   0.0  292.0     10.6   76.08  18.98   355.06
161  0.449537   96.0  15.37   1.0  0.7551  7.808  28.6   1.1531  21.0  354.0     18.9  328.90  19.39   410.39
162  0.727386   92.0   2.11   1.0  0.8603  5.379  96.3   4.9694  11.0  447.0     14.1   61.31  13.71   167.44
163  0.805123   31.0   2.87   0.0  0.1104  6.248  63.7   2.5073   6.0  471.0     10.9   49.85  21.90    36.64
164  0.588244  100.0  25.40   1.0  0.6906  7.903  44.0   2.2454  13.0  383.0     18.0  313.35  29.49   279.31
165  1.704832    6.0   8.50   0.0  0.7231  5.520  14.7  10.4354  20.0  379.0     12.0  375.86   2.12   333.57
166  2.645905    2.0   4.68   0.0  0.1980  5.509  85.1   9.3783  16.0  465.0     16.9  398.88  15.03   134.46
167  0.589482   24.0  11.90   0.0  0.8751  6.597  49.3  10.3858   9.0  444.0     14.7  398.87  16.47   448.50
168  0.083900   64.0  16.46   0.0  0.0952  6.593  36.8   2.6447   4.0  390.0     10.0  327.53  26.01    43.58
169  0.686471   22.0  18.04   0.0  0.2024  6.256  77.5   2.4403  21.0  478.0     17.5   63.37  28.59    51.55
170  2.184941   51.0  16.65   1.0  0.4293  5.202  89.7   9.8859  16.0  379.0     14.8  317.77  13.65   136.60
171  0.760713   97.0   2.45   1.0  0.9813  7.805  52.4   2.3620  17.0  215.0     14.9  382.18  19.91  2174.02
172  0.181024   84.0   8.43   0.0  0.2141  6.248  56.8   7.0118  10.0  475.0     11.5   89.15   3.52   102.96
173  0.897524   25.0  15.90   0.0  0.5808  6.322  85.0  12.0502   6.0  493.0     15.8   62.11  16.27   164.37
174  0.604903   40.0  24.45   0.0  0.1513  7.171  75.7   8.1973   3.0  269.0     24.7   99.80   3.59   108.60
175  0.655663    7.0  22.04   0.0  0.3790  6.281  85.4   6.3312  11.0  227.0     21.3  325.31   8.53   117.81
176  0.045672   35.0  20.25   0.0  0.0951  7.706  65.9   7.3921  22.0  200.0     14.5   91.04  22.42    83.53
177  0.780093   34.0  17.16   0.0  0.1884  7.254  31.0   8.2118   0.0  368.0     18.1  380.32  26.60    92.30
178  0.362124    9.0  17.73   0.0  0.1478  7.109  39.8   6.9028   6.0  379.0     10.1   22.40   6.26    73.04
179  1.751465   48.0   7.07   0.0  0.3046  5.283   5.0   5.6215  22.0  219.0     18.6  393.84   2.01   263.19
180  0.327811   65.0   3.56   1.0  0.5748  7.581  57.9   2.5614  22.0  384.0     14.1  365.96  10.00   155.94
181  0.152999   60.0  14.19   0.0  0.0534  7.290  63.1   0.4225   6.0  304.0     14.2   26.85  11.83    18.09
182  0.147412   34.0  23.32   1.0  0.9275  7.454   0.6  11.3419  20.0  260.0     18.4  394.51  28.28  1127.10
183  0.496052   75.0  14.52   0.0  0.0569  5.280  74.5   9.2484  21.0  211.0     20.9   58.93  27.53   101.64
184  0.119644   43.0  22.83   1.0  0.4213  5.074  54.3   5.9335  21.0  342.0     17.5   43.22  23.50    81.43
185  1.919095   27.0  11.83   1.0  0.6729  6.463  43.3   1.4907  15.0  276.0     24.8  327.75  28.99   121.26
186  2.651730   26.0  11.03   0.0  0.9786  7.472  70.5  12.9848  18.0  235.0     16.8  322.99   4.95  1686.49
187  0.570539   29.0  25.19   0.0  0.4750  6.939  11.0   0.2716   4.0  418.0     15.9   72.14  16.73    38.42
188  0.412424   53.0   6.47   0.0  0.6609  7.564  23.2   1.6769  19.0  472.0     11.4   15.67   4.25   179.21
189  0.124577   23.0  24.51   1.0  0.3958  7.303  60.7   2.3336  23.0  343.0     16.3   79.27  14.25    65.31
190  0.376244   52.0   8.32   1.0  0.5928  6.301  95.3   0.7959  18.0  447.0     13.4   19.47   5.31    72.75
191  0.777060   77.0  15.44   0.0  0.3755  6.740  20.8   9.1052   5.0  262.0     13.2   49.44  28.17    93.29
192  0.478500   85.0   0.24   0.0  0.8019  5.934  35.7   6.3288   5.0  460.0     17.9  311.56   2.54   303.51
193  0.766354   45.0  13.11   1.0  0.1853  5.904  92.5   0.2864  24.0  249.0     13.4  338.25  23.39    42.56
194  0.018632   34.0  24.41   0.0  0.6789  5.784  98.7   3.1377  13.0  236.0     15.6   99.56   8.01   107.23
195  0.773064   38.0   6.65   0.0  0.8640  6.224  20.7   9.4232  16.0  319.0     11.8   13.42  19.61   306.50
196  0.772185   40.0  16.83   1.0  0.7092  6.262  11.9  11.3156  21.0  461.0     24.9   90.90  14.17   215.10
197  0.577507   87.0  16.99   0.0  0.7926  6.551  99.1  11.4215  11.0  366.0     19.5   38.82   4.81   305.07
198  0.943712   85.0  14.54   1.0  0.9752  6.827  15.1   9.4209  22.0  479.0     19.9  320.95   8.14   922.80
199  1.148802   88.0   9.10   1.0  0.6000  7.366  58.0   0.5684  18.0  370.0     24.4  366.24  12.78   141.27
200  0.340568   92.0   1.75   0.0  0.7615  5.871  18.9   0.1766   8.0  276.0     16.2  330.76  28.58   108.72
201  0.464083   59.0  21.13   0.0  0.7731  7.126  88.4   1.4269  20.0  221.0     11.3   52.44  12.90   281.36
202  2.743678   88.0  10.43   0.0  0.7020  7.154  65.7   3.2165  21.0  284.0     23.7   19.17  23.82   207.09
203  0.310403   83.0  19.54   1.0  0.4759  5.876  30.7   9.2950   5.0  483.0     20.2  323.45  19.23   123.83
204  0.299150   90.0  25.99   0.0  0.3713  7.486  22.9   9.4487  23.0  396.0     12.8  311.45  25.29   125.52
205  0.569043   52.0  13.68   0.0  0.0539  6.767  33.9   7.1292  12.0  307.0     13.9   20.87  19.58    72.74
206  0.049858   47.0  10.67   0.0  0.1051  7.041  41.0   6.3699   1.0  406.0     17.2  307.39   6.82   108.18
207  0.196928   35.0  22.70   0.0  0.3412  5.775  57.9   0.8390  11.0  383.0     23.4  309.12   5.82    85.01
208  1.990394   13.0  20.02   0.0  0.8506  7.430  32.4   3.4340   1.0  247.0     17.0   86.38   8.68   597.75
209  0.874846   79.0  11.14   1.0  0.6934  7.663   6.8   2.6803  10.0  270.0     17.1  392.85  19.49   253.36
210  0.695198   60.0   2.34   0.0  0.0297  6.263  12.1   7.1772  18.0  415.0     18.8   22.09  14.71    81.45
211  0.965744   52.0  25.24   0.0  0.8984  7.891  10.4   2.7077  23.0  384.0     16.3   89.21   2.65  1273.60
212  0.675992   12.0   7.40   1.0  0.9234  6.838  73.0   1.7013   9.0  213.0     13.4  370.92  19.84   597.41
213  2.840176   14.0  17.13   1.0  0.5436  5.790  96.8   1.3779   6.0  214.0     24.0   14.79  16.39    50.99
214  0.486940   84.0   0.79   0.0  0.6630  5.424  81.6   3.1758   3.0  254.0     21.5  367.42  25.81    87.91
215  1.119782   11.0  23.56   0.0  0.9683  5.056  87.3   2.3549  16.0  210.0     19.1   50.77  17.43   177.16
216  2.156930   10.0   9.24   0.0  0.4855  6.248  14.3   0.1269  23.0  234.0     14.0   19.24  20.68    38.40
217  0.992244   56.0   2.43   1.0  0.7064  6.745  41.1   5.9225   9.0  257.0     18.4    8.80   8.05   177.53
218  0.300344   97.0  17.50   0.0  0.4937  6.941  34.6   3.6195   0.0  339.0     15.1   56.06  26.67    67.76
219  0.396714   90.0  19.58   0.0  0.6507  7.413   5.4  10.2405  17.0  467.0     15.0  375.39  10.25   264.01
220  0.092032   88.0  20.82   0.0  0.3379  7.975  46.7  10.7563   5.0  349.0     12.7  336.52   2.88   230.82
221  0.161213   76.0   4.86   0.0  0.8456  7.635  66.3   6.0065   7.0  354.0     22.1   67.93   6.68   711.72
222  0.927750   25.0  18.28   0.0  0.7980  7.726   3.3  11.4065   2.0  212.0     13.4   62.88  12.08   571.80
223  0.256583   83.0  24.15   0.0  0.9943  7.717  38.7   7.0105  10.0  352.0     11.0    1.57   3.43  2218.77
224  0.369035   14.0  12.81   0.0  0.1778  5.126  45.3   9.9614   1.0  379.0     12.1   27.89  24.54    95.00
225  1.789176    2.0   2.35   0.0  0.8441  6.836  24.6   5.1718   5.0  493.0     21.5  358.69  23.19   391.05
226  0.596268   96.0  13.55   0.0  0.1076  5.040  50.8   2.1324  17.0  440.0     18.0  376.53   2.74   176.69
